vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Raúl Pérez Los Arrotos del Pendón Prieto Picudo 2019|Los Arrotos del Pendón Prieto Picudo|2019|Tierra de León|Raúl Pérez|Tinto|Grenache., Tempranillo|18.99|3.4152827|3.9355726|1.6062317|3.334735|574|4.1|white
Vivanco 4 Varietales Colección Rioja 2019|4 Varietales Colección Rioja|2019|Rioja|Vivanco|Tinto de Rioja|Tempranillo, Graciano, Garnacha|23.39|3.7084749|3.783755|2.072315|3.818865|1177|4.1|white
Montecillo Edición Limitada 2016|Edición Limitada|2016|Rioja|Montecillo|Tinto de Rioja|Tempranillo, Graciano, Garnacha|15.9|3.8218145|3.6983438|1.8799379|3.8062294|661|4.0|white
Alonso del Yerro Ribera del Duero 2019|Ribera del Duero|2019|Ribera del Duero|Alonso del Yerro|Tinto de Ribera del Duero|Tempranillo|24.5|3.7180488|3.8935893|1.8092395|3.54729|7849|4.0|white
Olivardots Gresa Expressió 2015|Gresa Expressió|2015|Empordà|Olivardots|Tinto|Grenache., Tempranillo|47.99|3.0866256|3.7345707|2.0769002|2.877755|1992|4.2|white
Pago Calzadilla Classic 2015|Classic|2015|Pago Calzadilla|Pago Calzadilla|Tinto|Grenache., Tempranillo|19.2|3.0304885|3.95915|1.7627157|3.0171185|1302|4.0|white
Izadi El Regalo 2020|El Regalo|2020|Rioja|Izadi|Tinto de Rioja|Tempranillo, Graciano, Garnacha|35.0|3.715961|3.8594346|1.6880295|3.8857708|4222|4.1|white
Leda Guarda de Leda Selección Tempranillo 2019|Guarda de Leda Selección Tempranillo|2019|Castilla y León|Leda|Tempranillo|Tempranillo|41.5|2.7630806|4.3928947|1.815294|3.8423684|791|4.1|white
Celler de Capçanes La Flor del Flor de Primavera Old Vines Samsó 2017|La Flor del Flor de Primavera Old Vines Samsó|2017|Montsant|Celler de Capçanes|Tinto de Montsant|Shiraz/Syrah, Cabernet Sauvignon, Cariñena, Garnacha|40.25|3.0951743|4.229812|1.641394|3.300992|110|4.1|white
Laureano Serres Montagut Mendall Roig Terme de Laureano 2022|Mendall Roig Terme de Laureano|2022|Cariñena|Laureano Serres Montagut|Tinto|Grenache., Tempranillo|18.7|3.514|3.6729023|2.2253726|3.2076864|110|4.1|white
Atalaya El Vigía de la Atalaya Organico 2023|El Vigía de la Atalaya Organico|2023|Almansa|Atalaya|Tinto|Grenache., Tempranillo|6.25|2.9281447|3.4104483|2.9510798|3.1332738|490|4.1|white
Marqués de Griñon Cabernet Sauvignon 2019|Cabernet Sauvignon|2019|Dominio de Valdepusa|Marqués de Griñon|Cabernet Sauvignon|Cabernet Sauvignon|24.5|3.508805|4.7969685|1.6985819|3.808788|2778|4.1|white
