vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Lafou Els Amelers Garnatxa Blanca 2019|Els Amelers Garnatxa Blanca|2019|Terra Alta|Lafou|Grenache Blanc|Grenache Blanc|30.2|3.3561268|3.034756|2.2171872||2761|3.9|w
Artífice Paraje Llanito Perera Listan Blanco 2020|Paraje Llanito Perera Listan Blanco|2020|Ycoden-Daute-Isora|Artífice|White|Listan Blanco|27.5|4.5283484|2.2380357|1.7826786||258|4.0|w
Mas Doix Murmuri 2022|Murmuri|2022|Priorat|Mas Doix|Grenache Blanc|Grenache Blanc|22.55|3.3957694|3.1776156|2.154125||1175|4.0|w
Baron de Ley Tres Viñas Blanco Reserva 2019|Tres Viñas Blanco Reserva|2019|Rioja|Baron de Ley|Rioja White|Viura|14.44|3.2138474|4.401555|1.9278357||3510|4.1|w
Familia Torres Viña Esmeralda 2023|Viña Esmeralda|2023|Penedès|Familia Torres|White|Moscatel|7.45|2.9544249|3.0368736|2.3585622||52378|4.0|w
Venus la Universal Dido Macabeu - Garnatxa - Cartoixa 2021|Dido Macabeu - Garnatxa - Cartoixa|2021|Montsant|Venus la Universal|White|Macabeu, Garnacha Blanca, Cartoixa(Garnacha Gris)|20.9|3.4744284|3.761857|1.4559525||3073|4.0|w
Terroir Al Límit Soc. Lda Terra de Cuques 2021|Terra de Cuques|2021|Priorat|Terroir Al Límit Soc. Lda|White|Garnacha Blanca, Pedro Ximénez|33.4|3.2395875|3.2548454|1.103299||2791|4.1|w
Espelt Lledoner Roig Blanc de Roig 2020|Lledoner Roig Blanc de Roig|2020|Empordà|Espelt|White|Garnacha Roja|24.74|3.2435088|3.3984213|1.2038597||247|4.0|w
Castillo de Maetierra Libalis Blanco 2020|Libalis Blanco|2020|Valles de Sadacia|Castillo de Maetierra|White|Moscatel, Viura, Malvasía|6.72|2.616946|2.6403594|1.8802395||1835|3.7|w
Bodega Sommos Colección Sauvignon Blanc 2022|Colección Sauvignon Blanc|2022|Somontano|Bodega Sommos|Sauvignon Blanc|Sauvignon Blanc|12.45|3.9691894|3.0727928|1.8447748||234|4.0|w
Can Matons Pansa Blanca 2022|Pansa Blanca|2022|Alella|Can Matons|White|Pansa Blanca|12.3|2.8906627|2.8694577|1.4204217||577|4.0|w
Mas Geli Sense Pressa Blanco 2022|Sense Pressa Blanco|2022|Empordà|Mas Geli|Grenache Blanc|Grenache Blanc|16.5|3.0752745|3.0246153|2.1150548||232|4.0|w
Fernando González Godello Sobre Lias 2015|Godello Sobre Lias|2015|Valdeorras|Fernando González|Godello|Godello|14.91|4.0|3.0|1.0||231|4.0|w
Agro de Bazán Granbazán Etiqueta Verde Albariño 2022|Granbazán Etiqueta Verde Albariño|2022|Rías Baixas|Agro de Bazán|Albariño|Albariño|12.8|3.744419|1.6782612|1.5438505||7756|3.9|w
Viña Somoza Ededia Godello 2021|Ededia Godello|2021|Valdeorras|Viña Somoza|Godello|Godello|37.9|4.0|3.0|1.15||222|4.0|w
