vintage_name|wine_name|year|region|bodega|varietal_name|grape_names|price|acidity|fizziness|intensity|sweetness|tannin|ratings_count|ratings_average|wine_ratings_count|wine_ratings_average
Mar de Frades Finca Valiñas 2017|Finca Valiñas|2017|Rías Baixas|Mar de Frades|Albariño|Albariño|25.72|3.7232082||1.8825656|1.474119||258|4.3|1624|4.1
José Pariente Finca Las Comas Verdejo 2021|Finca Las Comas Verdejo|2021|Rueda|José Pariente|Verdejo|Verdejo|39.9|3.312234||3.1925132|2.1037176||255|4.3|255|4.3
José Pariente Finca Las Comas Verdejo 2020|Finca Las Comas Verdejo|2020|Rueda|José Pariente|Verdejo|Verdejo|40.0|3.312234||3.1925132|2.1037176||255|4.3|255|4.3
Forjas del Salnés Leirana Ma Luisa Lázaro Albariño 2019|Leirana Ma Luisa Lázaro Albariño|2019|Rías Baixas|Forjas del Salnés|Albariño|Albariño|44.78|3.7385058||2.2365384|1.629571||246|4.3|246|4.3
Abadia da Cova Loia 2023|Loia|2023|Ribeira Sacra|Abadia da Cova|White||19.5|3.1020002||2.8620002|1.0||227|4.3|227|4.3
Bodegas Frontonio La Loma & Los Santos Garnacha Blanca - Macabeo 2021|La Loma & Los Santos Garnacha Blanca - Macabeo|2021|Valdejalón|Bodegas Frontonio|White||41.5|3.2528925||3.358595|1.8132231||222|4.3|222|4.3
Tobia Óscar Tobía Reserva Rioja Blanco 2017|Óscar Tobía Reserva Rioja Blanco|2017|Rioja|Tobia|Blanco de Rioja|Viura|22.5|3.3017287||4.247648|1.7623743||212|4.3|889|4.2
Oxer Wines Marko Terlegiz 2022|Marko Terlegiz|2022|Bizkaiko Txakolina|Oxer Wines|Txakoli|Petit Manseng, Petit Courbu, Folle Blanche, Hondarrabi Zuri, Gros Manseng, Hondarrabi Beltza|47.9|4.8808274||2.6314285|1.9856391||205|4.3|205|4.3
Bodegas Mauro Godello Blanco 2021|Godello Blanco|2021|Bierzo|Bodegas Mauro|White||42.2|3.6349998||2.735|1.5858334||198|4.3|1678|4.2
Noelia Bebelia Albariño 2019|Albariño|2019|Rías Baixas|Noelia Bebelia|Albariño|Albariño|16.45|3.507015||2.2738404|1.9872179||172|4.3|1113|4.1
Abadía Retuerta LeDomaine Blanco de Guarda 2022|LeDomaine Blanco de Guarda|2022|Abadía Retuerta|Abadía Retuerta|White||37.9|3.1130536||3.3053613|1.6679021||167|4.3|3738|4.3
Conreria d'Scala Dei Primera Vinya Les Brugueres Blanco 2021|Primera Vinya Les Brugueres Blanco|2021|Priorato|Conreria d'Scala Dei|Grenache Blanc|Grenache Blanc|30.0|3.1477404||3.117308|2.4933171||161|4.3|161|4.3
Azpilicueta Colección Privada Blanco 2020|Colección Privada Blanco|2020|Rioja|Azpilicueta|Blanco de Rioja|Viura|27.95|3.1211739||4.1732073|1.7133437||133|4.3|2033|4.0
Paco & Lola Heritage Albariño 2019|Heritage Albariño|2019|Rías Baixas|Paco & Lola|Albariño|Albariño|30.0|3.1478376||2.516937|1.9795495||118|4.3|118|4.3
Territorio Luthier Hispania Blanco 2021|Hispania Blanco|2021|Ribera del Duero|Territorio Luthier|White||33.0|3.0||3.43|1.0||115|4.3|115|4.3
Territorio Luthier Hispania Blanco 2022|Hispania Blanco|2022|Ribera del Duero|Territorio Luthier|White||33.0|3.0||3.43|1.0||115|4.3|115|4.3
O Morto Wines Godello 2021|Godello|2021|Ribeiro|O Morto Wines|Godello|Godello|29.0|4.0||3.0|1.0||114|4.3|114|4.3
Mas d'en Gil Coma Blanca Priorat 2017|Coma Blanca Priorat|2017|Priorato|Mas d'en Gil|White||44.89|3.2470002||3.164|1.102||111|4.3|820|4.1
Menade Sobrenatural de Menade Verdejo Natural 2016|Sobrenatural de Menade Verdejo Natural|2016|Castilla y León|Menade|Verdejo|Verdejo|48.45|3.0299263||3.246305|1.8848162||103|4.3|276|4.3
Pazo Barrantes Gran Vino Albariño 2021|Gran Vino Albariño|2021|Rías Baixas|Pazo Barrantes|Albariño|Albariño|37.97|3.5268948||1.9220788|2.5397902||100|4.3|2820|4.4
Pazo Señorans Seleccion de Añada Albariño Rías Baixas 2014|Seleccion de Añada Albariño Rías Baixas|2014|Rías Baixas|Pazo Señorans|Albariño|Albariño|49.49|3.5504503||1.9207377|1.7335123||93|4.3|5373|4.3
Paco & Lola Heritage Albariño 2018|Heritage Albariño|2018|Rías Baixas|Paco & Lola|Albariño|Albariño|26.64|3.1478376||2.516937|1.9795495||88|4.3|118|4.3
Mas Geli Solista No 7 Subirat Parent 2021|Solista No 7 Subirat Parent|2021|Empordà|Mas Geli|White||20.5|3.0038657||2.9690757|1.085042||83|4.3|83|4.3
Mas Geli Solista No 7 Subirat Parent 2022|Solista No 7 Subirat Parent|2022|Empordà|Mas Geli|White||18.0|3.0038657||2.9690757|1.085042||83|4.3|83|4.3
Lagar de Sabariz A Pita Cega 2016|A Pita Cega|2016|Galicia|Lagar de Sabariz|White||49.65|3.1543157||3.089579|1.0745263||82|4.3|324|4.2
Godeval Revival Godello 2021|Revival Godello|2021|Valdeorras|Godeval|Godello|Godello|46.35|4.15||3.2|1.0||80|4.3|360|4.4
Aalto Blanco de Parcela 2022|Blanco de Parcela|2022|Castilla y León|Aalto|Verdejo|Verdejo|44.4|3.447092||2.8572106|2.1542432||74|4.3|520|4.2
Tresmano - Tr3smano Albillo Mayor 2021|Albillo Mayor|2021|Ribera del Duero|Tresmano - Tr3smano|White||37.5|3.0945945||3.0472972|2.3875675||73|4.3|73|4.3
Ordóñez Nisia Las Suertes Verdejo Old Vines 2022|Nisia Las Suertes Verdejo Old Vines|2022|Rueda|Ordóñez|Verdejo|Verdejo|21.5|3.2734354||2.32809|2.223188||72|4.3|1217|4.2
Bodega Sommos Coleccion Chardonnay 2020|Coleccion Chardonnay|2020|Somontano|Bodega Sommos|Chardonnay|Chardonnay|28.9|2.74253||3.255|1.4120481||72|4.3|289|4.3
Bodega Tamerán Malvasia Volcanica 2021|Malvasia Volcanica|2021|Gran Canaria|Bodega Tamerán|White||35.64|4.4136896||2.5501604|1.7722994||62|4.3|279|4.3
Bodegas Javier San Pedro Ortega Viuda Negra Villahuercos 2020|Viuda Negra Villahuercos|2020|Rioja|Bodegas Javier San Pedro Ortega|Blanco de Rioja|Viura|34.9|3.2476673||4.153705|1.7275815||59|4.3|449|4.2
Atlántida Blanco 2021|Blanco|2021|Cádiz|Atlántida|White||27.08|3.1636364||3.0745456|1.1454545||59|4.3|389|4.3
Telmo Rodriguez Molino Real 2014|Molino Real|2014|Málaga|Telmo Rodriguez|White||42.0|2.35||3.0666666|3.0||59|4.3|829|4.3
