vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white
Clos Pons Alges 2016|Alges|2016|Costers del Segre|Clos Pons|Tinto|Grenache., Tempranillo|11.95|3.1586154|3.8229253|1.9436913|2.9540248|3582|3.9|white
Carles Andreu Trepat 2019|Trepat|2019|Tarragona|Carles Andreu|Tinto|Grenache., Tempranillo|15.03|3.335082|3.2370014|1.691224|2.6861925|1478|3.7|white
Dominio de Cair Selección La Aguilera 2020|Selección La Aguilera|2020|Ribera del Duero|Dominio de Cair|Tinto de Ribera del Duero|Tempranillo|17.7|3.6167676|3.6924906|1.9465789|3.7991176|3024|4.2|white
Casa Castillo Micrit Monastrell 2017|Micrit Monastrell|2017|Jumilla|Casa Castillo|Monastrell|Monastrell|24.9|3.5371737|3.468478|1.3754349|4.282174|266|4.0|white
Murviedro La Casa de la Seda Bobal 2020|La Casa de la Seda Bobal|2020|Utiel-Requena|Murviedro|Tinto|Grenache., Tempranillo|20.71|2.9554193|3.8204224|1.8605407|3.0535762|1149|4.1|white
Cims de Porrera Vi de Vila Porrera  Caranyana - Garnatxa 2019|Vi de Vila Porrera  Caranyana - Garnatxa|2019|Priorato|Cims de Porrera|Tinto de Priorat|Shiraz/Syrah, Cabernet Sauvignon, Grenache., Carignan|17.2|3.4152672|4.5768695|1.8046249|3.296969|7971|4.1|white
Besos y Lágrimas Tinto 2021|Tinto|2021|Cariñena|Besos y Lágrimas|Grenache.|Grenache.|6.65|2.788328|3.3519242|2.4114194|2.900694|131|4.0|white
Olivier Rivière Rioja Gabaxo 2020|Rioja Gabaxo|2020|Rioja|Olivier Rivière|Tinto de Rioja|Tempranillo, Graciano, Garnacha|18.5|3.8630555|3.6317391|1.6726029|3.9817224|2049|3.7|white
L'Enclòs de Peralba Vi Fi de Masia Tinto 2019|Vi Fi de Masia Tinto|2019|Penedès|L'Enclòs de Peralba|Tinto|Grenache., Tempranillo|16.49|3.1026633|3.5904357|1.8302422|2.9150848|302|4.0|white
Gregorio Martínez Finca Tempranillo 2015|Finca Tempranillo|2015|Rioja|Gregorio Martínez|Tinto de Rioja|Tempranillo, Graciano, Garnacha|12.15|3.7185903|3.1838412|1.6350992|3.1888363|452|3.8|white
