vintage_name|wine_name|year|region|bodega|varietal_name|grape_varieties|price|acidity|intensity|sweetness|tannin|wine_ratings_count|wine_ratings_average|red/white|grape_count|communidad
Attis Sangarida La Guiana Godello 2021|Sangarida La Guiana Godello|2021|Bierzo|Attis|White|Godello|39.95|3.0|3.0|1.0||146|4.4|w|1|Castilla y Leon
Bodega Contador (Benjamín Romeo) Qué Bonito Cacareaba Blanco 2020|Qué Bonito Cacareaba Blanco|2020|Rioja|Bodega Contador (Benjamín Romeo)|Rioja White|Viura|44.4|3.2414784|4.403096|2.0967183||2206|4.3|w|1|La Rioja
Narupa Vinos Narupa Salicornia Albariño de Costa 2022|Narupa Salicornia Albariño de Costa|2022|Rías Baixas|Narupa Vinos|Albariño|Albariño|21.6|3.456198|1.8269271|2.1762497||142|4.4|w|1|Galicia
Bodega Juan Carlos Sancha Cerro La Isa Blanco 2021|Cerro La Isa Blanco|2021|Rioja|Bodega Juan Carlos Sancha|Rioja White|Viura|36.3|3.4095383|4.2842054|1.8697436||136|4.4|w|1|La Rioja
Telmo Rodriguez Molino Real 2016|Molino Real|2016|Málaga|Telmo Rodriguez|White|Moscatel|49.0|2.35|3.0666666|3.0||828|4.3|w|1|Andalucia
Bodegas Martín Códax Gallaecia Rias Baixes Albarino 2018|Gallaecia Rias Baixes Albarino|2018|Pontevedra|Bodegas Martín Códax|Albariño|Albariño|48.0|3.461104|2.3984067|2.130067||682|4.2|w|1|Galicia
Bodega Juan Carlos Sancha Cerro La Isa Blanco 2020|Cerro La Isa Blanco|2020|Rioja|Bodega Juan Carlos Sancha|Rioja White|Viura|46.75|3.4095383|4.2842054|1.8697436||136|4.4|w|1|La Rioja
Caraballas El Sosiego de Finca Las Caraballas 2015|El Sosiego de Finca Las Caraballas|2015|Castilla y León|Caraballas|Chardonnay|Chardonnay|26.26|3.647945|3.85863|1.3124657||58|4.4|w|1|Castilla y Leon
Bodega Contador (Benjamín Romeo) Qué Bonito Cacareaba Blanco 2022|Qué Bonito Cacareaba Blanco|2022|Rioja|Bodega Contador (Benjamín Romeo)|Rioja White|Viura|49.49|3.2414784|4.403096|2.0967183||2206|4.3|w|1|La Rioja
Hika B119 2019|B119|2019|País Vasco|Hika|White|Chardonnay, Hondarrabi Zuri|35.29|3.0|3.0|1.0||57|4.4|w|2|Pais Vasco
Luis A. Rodriguez Vazquez Viña de Martin Escolma Ribeiro 2019|Viña de Martin Escolma Ribeiro|2019|Ribeiro|Luis A. Rodriguez Vazquez|White|Albariño, Treixadura, Lado, Torrontés|42.9|3.3235354|3.411212|1.160404||1497|4.3|w|4|Galicia
Francisco Garcia Perez Adega do Moucho Treixadura 2018|Adega do Moucho Treixadura|2018|Ribeiro|Francisco Garcia Perez|White|Treixadura|49.0|3.2882354|2.7117646|1.4882352||427|4.4|w|1|Galicia
Bodega Otazu Pago de Otazu Chardonnay Con Crianza 2021|Pago de Otazu Chardonnay Con Crianza|2021|Otazu|Bodega Otazu|Chardonnay|Chardonnay|30.5|3.293277|3.4316049|1.9019932||1203|4.3|w|1|Navarra
Cantalapiedra Viticultores Majuelo La Otea Pie Franco 2017|Majuelo La Otea Pie Franco|2017|Castilla y León|Cantalapiedra Viticultores|Verdejo|Verdejo|42.15|3.7579844|2.7295008|1.874242||287|4.4|w|1|Castilla y Leon
